Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Joe Barlow,TEX,12.1,49,8.02702703,3.64864865,2.2,0,0.2244898,0.10204082,0.12244898,0.14285714,0.89189189,0.18181818,0.81818182,2.602466552,4.462199608,22296
Chris Rodriguez,LAA,12.2,55,7.81578947,4.26315789,1.83333333,0,0.2,0.10909091,0.09090909,0.21276596,1.26315789,0.27777778,0.66666667,3.327928862,4.58155458,22310
A.J. Alexy,TEX,11.1,41,4.76470588,4.76470588,1,0,0.14634146,0.14634146,0,0.11428571,0.88235294,0.13793103,1,3.699445882,5.100556988,22343
Stephen Ridings,NYY,2.2,10,16.87499998,6.74999999,2.5,0,0.5,0.2,0.3,0,0.75,0,0.5,1.670034122,1.670034124,22358
Nivaldo Rodriguez,HOU,4,15,6.75,6.75,1,0,0.2,0.2,0,0,0.75,0,1,4.670034122,5.552215186,22449
Johan Oviedo,STL,31,150,5.80645161,6.67741935,0.86956522,1.16129032,0.13333333,0.15333333,-0.02,0.272,1.83870968,0.2970297,0.65543071,5.976485732,5.551194341,22487
Carlos Hernandez,KCR,40.1,165,7.58677686,4.90909091,1.54545455,0.66942149,0.20606061,0.13333333,0.07272728,0.18439716,1.19008264,0.22115385,0.72052402,4.236149822,5.19396636,22713
Angel Zerpa,KCR,1.2,5,10.79999998,0,2,0,0.4,0,0.4,0,0,0,1,0.770034122,1.828651401,22717
Roansy Contreras,PIT,1.1,5,13.50000003,6.75000002,2,0,0.4,0.2,0.2,0.25,1.5,0.5,1,2.420034122,3.743305719,22810
Luis Patino,TBR,30.1,148,6.52747253,6.23076923,1.04761905,1.48351648,0.14864865,0.14189189,0.00675676,0.27419355,1.81318681,0.29292929,0.79591837,6.038165992,6.861763852,22815
Joan Adon,WSN,1.2,10,16.19999997,10.79999998,1.5,5.39999999,0.3,0.2,0.1,0.5,3.59999999,0.75,1,10.9700341,4.228651396,22925
Spencer Howard,2 Tms,23.1,102,10.02857143,5.01428571,2,1.15714286,0.25490196,0.12745098,0.12745098,0.21590909,1.37142857,0.27118644,0.52083333,4.412891262,4.783081726,23252
Packy Naughton,LAA,6.2,29,5.4,2.7,2,1.35,0.13793103,0.06896552,0.06896551,0.2962963,1.5,0.31818182,0.34883721,4.820034122,4.193305717,23292
Codi Heuer,2 Tms,26.1,114,8.20253164,1.36708861,6,1.70886076,0.21052632,0.03508772,0.1754386,0.30188679,1.36708861,0.34177215,0.77419355,4.499148042,4.308830792,23293
Janson Junk,LAA,8.1,37,6.48,0,6,3.24,0.16216216,0,0.16216216,0.33333333,1.44,0.32142857,0.64102564,6.410034122,2.788651398,23301
Damon Jones,PHI,0,2,0,18,0,0,0,1,-1,0,2,0,1,9.170034122,9.170034122,23310
