Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Francisco Mejia,TBR,1,9,0,0,0,9,0,0,0,0.57142857,4,0.5,0,22.17003412,14.4631205,16403
Victor Gonzalez,LAD,15,73,14.4,6.6,2.18181818,1.2,0.32876712,0.15068493,0.17808219,0.29508197,1.93333333,0.45714286,0.73529412,4.103367452,3.54627554,16408
Sergio Alcantara,CHC,0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.170034122,8.463120555,16417
Blake Taylor,HOU,23,116,5.86956522,5.86956522,1,1.56521739,0.12931034,0.12931034,0,0.30612245,1.95652174,0.31707317,0.76142132,6.083077602,6.583818321,16418
Jordan Luplow,TBR,0.2,4,0,0,0,13.49999993,0,0,0,0.5,2.99999999,0.33333333,1,22.67003402,11.10966365,16424
Scott Blewett,KCR,1.2,8,16.19999997,5.39999999,3,0,0.375,0.125,0.25,0.28571429,1.8,0.5,0.66666667,1.370034122,3.487268674,16427
Christian Arroyo,BOS,0.1,3,0,27.00000027,0,0,0,0.33333333,-0.33333333,0,3.00000003,0,1,12.17003421,22.75620708,16434
James Norwood,SDP,3.1,15,5.40000001,2.7,2,0,0.13333333,0.06666667,0.06666666,0.28571429,1.5,0.33333333,1,2.870034122,4.457960038,16440
Luis Guillorme,NYM,0.2,5,0,0,0,0,0,0,0,0.6,4.49999998,0.6,0.33333333,3.170034122,5.816577299,16451
Conner Greene,2 Tms,17.1,82,9.34615384,3.11538461,3,0.51923077,0.2195122,0.07317073,0.14634147,0.30555556,1.61538461,0.38888889,0.64189189,3.400803352,4.788395929,16455
Brent Honeywell Jr.,TBR,3,14,12,9,1.33333333,3,0.28571429,0.21428571,0.07142858,0.18181818,1.66666667,0.16666667,0.55555556,7.836700792,4.679608874,16466
Roel Ramirez,STL,0,2,0,9,0,0,0,0.5,-0.5,1,2,1,1,6.170034122,6.170034122,16470
Ryan Yarbrough,TBR,123.2,520,6.04043127,1.30997305,4.61111111,1.67385445,0.15961538,0.03461538,0.125,0.27494908,1.23719677,0.28791774,0.61032864,4.851974822,4.731184816,16502
