Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Ty France,SDP,69,201,7,20,24,0,4.50%,24.40%,0.168,0.279,0.234,0.294,0.402,0.296,0.296,84,-3.5,-7.7,1.5,0,17982
Cole Tucker,PIT,56,159,2,16,13,0,6.30%,25.20%,0.15,0.276,0.211,0.266,0.361,0.264,0.278,60,0.9,-7.4,2.5,0,17326
Matt Thaiss,LAA,53,164,8,17,23,0,10.40%,31.70%,0.211,0.264,0.211,0.293,0.422,0.303,0.286,86,-1.6,-4.4,-1.2,0,19318
Josh Rojas,ARI,41,157,2,17,16,4,11.50%,26.10%,0.094,0.295,0.217,0.312,0.312,0.279,0.32,67,-0.8,-7.6,2.6,0,19734
Billy McKinney,TOR,84,276,12,37,28,0,6.90%,26.40%,0.207,0.25,0.215,0.274,0.422,0.291,0.277,79,-0.4,-7.6,-2.2,0,15654
Jose Osuna,PIT,95,285,10,41,36,0,6.30%,16.80%,0.192,0.285,0.264,0.31,0.456,0.32,0.32,96,-1.3,-2.7,-6.8,0,12937
Derek Fisher,- - -,57,167,7,23,17,5,12.60%,34.10%,0.185,0.244,0.185,0.287,0.37,0.285,0.297,75,0.1,-5.2,-1,0,16192
Jake Lamb,ARI,78,226,6,26,30,1,14.20%,24.30%,0.16,0.234,0.193,0.323,0.353,0.297,0.344,79,1.5,-4.9,-2.8,0,13329
Ildemaro Vargas,ARI,92,211,6,25,24,1,4.30%,11.40%,0.144,0.279,0.269,0.299,0.413,0.3,0.286,81,-0.5,-5.8,-1.5,0,13324
Joey Rickard,- - -,68,189,3,14,10,4,9.50%,26.50%,0.131,0.304,0.226,0.312,0.357,0.29,0.275,77,0.6,-4.9,-2.3,-0.1,13277
Brandon Dixon,DET,118,420,15,41,52,5,5.00%,32.40%,0.187,0.336,0.248,0.29,0.435,0.303,0.299,87,1.1,-6,-9.5,-0.1,15214
Daniel Murphy,COL,132,478,13,56,78,1,6.70%,15.50%,0.174,0.307,0.279,0.328,0.452,0.328,0.289,88,-0.8,-8.5,-7.9,-0.1,4316
Gordon Beckham,DET,83,240,6,29,15,3,5.40%,28.30%,0.157,0.282,0.215,0.271,0.372,0.274,0.274,67,-0.1,-10.2,0.8,-0.1,9015
Erik Gonzalez,PIT,53,156,1,15,6,4,5.80%,23.70%,0.063,0.333,0.254,0.301,0.317,0.262,0.242,59,-0.2,-8.8,2.7,-0.1,13369
Matt Adams,WSN,111,333,20,42,56,0,6.00%,34.50%,0.239,0.284,0.226,0.276,0.465,0.306,0.319,85,-1.2,-7.8,-4.1,-0.1,9393
Jesus Aguilar,- - -,131,369,12,39,50,0,11.70%,22.00%,0.153,0.272,0.236,0.325,0.389,0.307,0.335,89,-1.9,-7.4,-5.9,-0.1,11342
Willi Castro,DET,30,110,1,10,8,0,5.50%,30.90%,0.11,0.333,0.23,0.284,0.34,0.27,0.24,64,-1.4,-6.4,1.5,-0.1,17338
Josh Naylor,SDP,94,279,8,29,32,1,9.00%,22.90%,0.154,0.302,0.249,0.315,0.403,0.306,0.294,90,-0.1,-3.6,-6.8,-0.1,18839
Gerardo Parra,- - -,119,301,9,38,48,8,6.30%,19.60%,0.157,0.264,0.234,0.293,0.391,0.288,0.294,74,-1.4,-11.6,0.4,-0.1,8553
Jace Peterson,BAL,29,108,2,14,11,4,5.60%,22.20%,0.11,0.267,0.22,0.269,0.33,0.258,0.291,54,1.6,-4.7,-0.5,-0.1,12325
Kyle Farmer,CIN,97,197,9,22,27,4,5.10%,29.90%,0.18,0.284,0.23,0.279,0.41,0.289,0.28,70,1.6,-6.1,-1.7,-0.1,14813
Ryon Healy,SEA,47,187,7,24,26,0,7.00%,21.40%,0.219,0.262,0.237,0.289,0.456,0.308,0.303,94,-2.3,-3.6,-4.4,-0.1,15447
Garrett Hampson,COL,105,327,8,40,27,15,7.30%,26.90%,0.137,0.322,0.247,0.302,0.385,0.292,0.259,64,4.2,-11.2,-1,-0.1,19262
Ian Kinsler,SDP,87,281,9,28,22,2,6.80%,19.20%,0.151,0.24,0.217,0.278,0.368,0.277,0.249,71,-3.2,-13.9,3.1,-0.2,6195
Nick Martini,- - -,32,109,1,8,7,0,12.80%,23.90%,0.097,0.299,0.226,0.33,0.323,0.291,0.288,81,0.9,-1.8,-3.5,-0.2,12005
Wilmer Difo,WSN,43,144,2,15,8,0,8.30%,20.10%,0.061,0.31,0.252,0.315,0.313,0.27,0.261,61,-0.3,-7.7,1.2,-0.2,14320
Jake Bauers,CLE,117,423,12,46,43,3,10.60%,27.20%,0.145,0.29,0.226,0.312,0.371,0.296,0.291,82,1,-8.7,-8,-0.2,15194
JaCoby Jones,DET,88,333,11,39,26,7,8.10%,28.20%,0.195,0.304,0.235,0.31,0.43,0.311,0.317,92,1,-2.3,-11.3,-0.2,14818
Yairo Munoz,STL,88,181,2,20,13,8,3.90%,20.40%,0.087,0.328,0.267,0.298,0.355,0.281,0.243,74,-0.2,-6.4,-1.4,-0.2,16313
Jose Trevino,TEX,40,126,2,18,13,0,2.40%,21.40%,0.125,0.312,0.258,0.272,0.383,0.274,0.256,59,-3.7,-10.3,3.9,-0.2,16725
Adam Jones,ARI,137,528,16,66,67,2,5.90%,19.10%,0.155,0.296,0.26,0.313,0.414,0.308,0.315,86,-2,-11.7,-7.5,-0.2,6368
Gregory Polanco,PIT,42,167,6,23,17,3,7.20%,29.30%,0.183,0.316,0.242,0.301,0.425,0.305,0.291,87,0.2,-2.7,-4.8,-0.2,12907
Ian Desmond,COL,140,482,20,64,65,3,7.10%,24.70%,0.223,0.304,0.255,0.31,0.479,0.328,0.336,88,-1.7,-9.6,-8.3,-0.2,6885
Charlie Tilson,CHW,54,157,1,16,12,4,6.40%,24.20%,0.056,0.305,0.229,0.293,0.285,0.256,0.273,56,3.2,-5.7,-1.9,-0.2,12983
Chance Sisco,BAL,59,198,8,29,20,0,11.10%,30.80%,0.186,0.276,0.21,0.333,0.395,0.319,0.33,96,-0.4,-1.6,-7.5,-0.2,15694
Willians Astudillo,MIN,58,204,4,28,21,0,2.50%,3.90%,0.111,0.258,0.268,0.299,0.379,0.288,0.311,77,-2.4,-8.5,-1,-0.2,15608
Hernan Perez,MIL,91,246,8,29,18,5,4.50%,26.80%,0.151,0.283,0.228,0.262,0.379,0.271,0.253,62,-1.8,-14.1,3.7,-0.2,5751
Harold Castro,DET,97,369,5,30,38,4,2.40%,23.30%,0.093,0.367,0.291,0.305,0.384,0.292,0.274,79,0.8,-9,-6.4,-0.2,14691
Nicky Lopez,KCR,103,402,2,44,30,1,4.50%,12.70%,0.084,0.273,0.24,0.276,0.325,0.26,0.234,56,-0.6,-23.4,6.9,-0.2,19339
Sandy Leon,BOS,65,191,5,14,19,0,6.80%,24.60%,0.105,0.231,0.192,0.251,0.297,0.239,0.22,39,-0.2,-15,5.8,-0.2,5273
Matt Wieters,STL,67,183,11,15,27,1,6.60%,25.70%,0.22,0.223,0.214,0.268,0.435,0.292,0.284,81,-0.8,-5.3,-3.2,-0.2,4298
Eric Hosmer,SDP,160,667,22,72,99,0,6.00%,24.40%,0.16,0.323,0.265,0.31,0.425,0.309,0.305,92,-5.2,-12.1,-12.4,-0.3,3516
Matt Duffy,TBR,46,169,1,12,12,0,11.20%,17.20%,0.075,0.305,0.252,0.343,0.327,0.299,0.31,90,-2,-4.3,-4.4,-0.3,13836
Ryan Cordell,CHW,97,247,7,22,24,3,7.70%,27.90%,0.134,0.287,0.221,0.29,0.355,0.279,0.271,71,0.1,-8.9,-2.6,-0.3,15181
Daniel Robertson,TBR,74,237,2,23,19,2,10.10%,24.90%,0.082,0.288,0.213,0.312,0.295,0.275,0.278,73,-2.9,-11.1,0,-0.3,14145
D.J. Stewart,BAL,44,142,4,15,15,1,9.90%,18.30%,0.143,0.268,0.238,0.317,0.381,0.299,0.305,82,-1,-4.3,-3.6,-0.3,17766
Miguel Cabrera,DET,136,549,12,41,59,0,8.70%,19.70%,0.116,0.336,0.282,0.346,0.398,0.318,0.326,97,-6.3,-8.4,-13.9,-0.3,1744
Kevan Smith,LAA,67,211,5,21,20,2,7.60%,17.50%,0.141,0.287,0.251,0.318,0.393,0.305,0.347,88,-1.8,-5,-5.5,-0.3,12284
Justin Upton,LAA,63,256,12,34,40,1,12.50%,30.50%,0.201,0.261,0.215,0.309,0.416,0.307,0.317,89,-0.4,-4,-8.2,-0.3,5222
Bryan Holaday,MIA,43,129,4,12,12,0,8.50%,16.30%,0.157,0.308,0.278,0.344,0.435,0.326,0.276,104,-3.6,-2.9,-4.7,-0.3,11287
Ronald Guzman,TEX,87,295,10,34,36,1,10.80%,29.50%,0.195,0.282,0.219,0.308,0.414,0.306,0.323,80,-4.1,-11.7,-2.1,-0.3,14388
Luke Maile,TOR,45,129,2,9,9,1,6.20%,25.60%,0.084,0.19,0.151,0.205,0.235,0.194,0.257,14,1.4,-12.9,4.9,-0.3,13355
Travis Demeritte,DET,48,186,3,24,10,3,7.50%,33.90%,0.118,0.337,0.225,0.286,0.343,0.272,0.278,66,1.2,-6.9,-3.2,-0.3,15958
Max Stassi,- - -,51,147,1,7,5,0,8.20%,33.30%,0.03,0.202,0.136,0.211,0.167,0.177,0.229,3,-1.4,-19.5,10.8,-0.3,10059
Zack Collins,CHW,27,102,3,10,12,0,13.70%,38.20%,0.163,0.295,0.186,0.307,0.349,0.285,0.313,76,-0.4,-3.5,-3.7,-0.4,19181
Odubel Herrera,PHI,39,139,1,12,16,2,7.90%,23.70%,0.119,0.29,0.222,0.288,0.341,0.272,0.273,63,0.5,-6.3,-2.1,-0.4,11476
Orlando Arcia,MIL,152,546,15,51,59,8,7.90%,20.00%,0.128,0.253,0.223,0.283,0.35,0.269,0.271,61,0.9,-27.3,5.4,-0.4,13185
Tony Wolters,COL,121,411,1,42,42,0,8.80%,16.50%,0.067,0.314,0.262,0.337,0.329,0.29,0.285,63,-1.5,-21.5,3.5,-0.4,11470
Marco Hernandez,BOS,61,155,2,18,11,1,1.90%,27.10%,0.088,0.337,0.25,0.279,0.338,0.266,0.216,57,-1.3,-9.8,-0.2,-0.4,13154
Tomas Nido,NYM,50,144,4,9,14,0,4.90%,25.70%,0.125,0.232,0.191,0.231,0.316,0.227,0.23,41,-2.4,-13.6,4.4,-0.4,13755
Leonys Martin,CLE,65,264,9,32,19,4,8.00%,29.50%,0.144,0.255,0.199,0.276,0.343,0.269,0.256,64,0.6,-11.6,-2.3,-0.4,11846
Justin Bour,LAA,52,170,8,18,26,0,10.00%,30.60%,0.192,0.196,0.172,0.259,0.364,0.267,0.283,62,-1.3,-9.6,-1.1,-0.5,9744
Bubba Starling,KCR,56,197,4,26,12,2,4.60%,28.40%,0.102,0.286,0.215,0.255,0.317,0.247,0.239,47,1.2,-12.1,0.2,-0.5,13356
Chris Iannetta,COL,52,164,6,20,21,0,11.00%,32.90%,0.194,0.306,0.222,0.311,0.417,0.303,0.315,72,-2.2,-8.3,-2.2,-0.5,8267
Scooter Gennett,- - -,42,139,2,15,11,0,1.40%,29.50%,0.098,0.304,0.226,0.245,0.323,0.241,0.225,43,-0.1,-10.6,0.8,-0.5,10339
Steven Duggar,SFG,73,281,4,26,28,1,5.70%,27.80%,0.107,0.313,0.234,0.278,0.341,0.265,0.264,63,-1,-14.7,0.3,-0.5,17719
Maikel Franco,PHI,123,428,17,48,56,0,8.40%,14.30%,0.175,0.236,0.234,0.297,0.409,0.281,0.295,69,-3.2,-20.7,1.5,-0.5,12179
Mac Williamson,- - -,40,144,4,13,17,2,9.70%,30.60%,0.102,0.2,0.156,0.25,0.258,0.23,0.26,42,-0.4,-11.4,0.9,-0.5,14158
Carlos Gonzalez,- - -,45,166,3,21,10,0,10.80%,31.30%,0.083,0.283,0.2,0.289,0.283,0.254,0.271,53,-0.9,-11,-0.3,-0.5,7287
Johan Camargo,ATL,98,248,7,31,32,1,6.00%,17.30%,0.151,0.258,0.233,0.279,0.384,0.279,0.284,66,0.5,-10.5,-3.2,-0.5,14950
Pablo Reyes,PIT,71,157,2,18,19,1,8.30%,22.90%,0.119,0.257,0.203,0.274,0.322,0.26,0.234,57,1.8,-7.1,-3.7,-0.5,16357
Rosell Herrera,MIA,63,119,2,10,11,4,9.20%,22.70%,0.114,0.25,0.2,0.288,0.314,0.263,0.26,63,1.1,-4.7,-4.9,-0.6,11611
Albert Pujols,LAA,131,545,23,55,93,3,7.90%,12.50%,0.185,0.238,0.244,0.305,0.43,0.308,0.313,90,-4.4,-11.4,-13.9,-0.6,1177
Jake Rogers,DET,35,128,4,11,8,0,10.20%,39.80%,0.134,0.175,0.125,0.222,0.259,0.216,0.205,28,-1.2,-13.1,2.5,-0.6,19452
Yonathan Daza,COL,44,105,0,7,3,1,6.70%,20.00%,0.031,0.26,0.206,0.257,0.237,0.221,0.226,18,0.4,-10.9,1.3,-0.6,15794
Dawel Lugo,DET,77,288,6,28,26,0,2.80%,20.50%,0.136,0.288,0.245,0.271,0.381,0.272,0.278,66,-1.9,-14.5,-1.8,-0.6,14713
Brandon Drury,TOR,120,447,15,43,41,0,5.60%,25.30%,0.163,0.259,0.218,0.262,0.38,0.271,0.306,66,1.6,-18.1,-3.9,-0.6,11615
JT Riddle,MIA,51,139,6,15,12,0,3.60%,30.20%,0.182,0.226,0.189,0.23,0.371,0.25,0.256,54,-0.2,-8.7,-2.2,-0.6,17642
Josh Harrison,DET,36,147,1,10,8,4,4.10%,18.40%,0.088,0.207,0.175,0.218,0.263,0.208,0.291,22,-0.6,-15.2,3.6,-0.6,8202
Jonathan Lucroy,- - -,101,328,8,30,36,0,8.20%,15.50%,0.123,0.253,0.232,0.305,0.355,0.286,0.288,74,-5.8,-16.8,-1.3,-0.6,7870
Jedd Gyorko,- - -,62,101,2,6,9,2,8.90%,23.80%,0.076,0.212,0.174,0.248,0.25,0.224,0.276,36,-0.5,-9,-1,-0.7,10816
Stevie Wilkerson,BAL,119,361,10,41,35,3,6.10%,29.90%,0.158,0.3,0.225,0.286,0.383,0.286,0.254,73,-0.1,-12.4,-7.1,-0.7,16041
Jose Rondon,- - -,56,157,3,10,9,0,7.00%,24.20%,0.084,0.245,0.196,0.263,0.28,0.241,0.255,46,-0.8,-11.7,-0.8,-0.7,14140
Humberto Arteaga,KCR,41,135,0,11,4,1,5.90%,20.70%,0.033,0.255,0.197,0.258,0.23,0.221,0.251,30,0.6,-11.5,-0.3,-0.7,13595
Jose Peraza,CIN,141,403,6,37,33,7,4.20%,14.40%,0.106,0.268,0.239,0.285,0.346,0.272,0.284,59,-1,-22.6,2.1,-0.7,13593
Juan Lagares,NYM,133,285,5,38,27,4,7.70%,26.30%,0.112,0.279,0.213,0.279,0.326,0.258,0.247,61,-0.5,-15.1,-1.7,-0.7,5384
Austin Dean,MIA,64,189,6,17,21,0,4.80%,24.90%,0.18,0.27,0.225,0.261,0.404,0.276,0.297,71,-0.3,-7.6,-6.1,-0.7,18288
Melky Cabrera,PIT,133,397,7,43,47,2,4.30%,10.30%,0.119,0.3,0.28,0.313,0.399,0.301,0.293,84,-1.9,-10.2,-10.5,-0.7,4022
Mark Reynolds,COL,78,162,4,13,20,2,13.60%,35.20%,0.141,0.247,0.17,0.29,0.311,0.267,0.272,48,-0.9,-11.9,-1.2,-0.8,7619
Albert Almora Jr.,CHC,130,363,12,41,32,2,4.40%,17.10%,0.145,0.255,0.236,0.271,0.381,0.271,0.279,62,-0.7,-18.7,-1.1,-0.8,14109
Keon Broxton,- - -,100,228,6,24,16,10,8.80%,45.60%,0.108,0.292,0.167,0.242,0.275,0.229,0.23,39,0,-18.1,2.3,-0.8,9253
Tyler White,- - -,83,279,3,18,23,0,12.90%,28.00%,0.096,0.29,0.208,0.308,0.304,0.274,0.269,70,-1.3,-12.2,-5.5,-0.8,15564
Chris Owings,- - -,67,196,3,13,14,5,7.10%,39.80%,0.094,0.222,0.139,0.209,0.233,0.198,0.233,13,0.8,-21,6.1,-0.8,10030
Dwight Smith Jr.,BAL,101,392,13,46,53,5,6.60%,20.90%,0.171,0.274,0.241,0.297,0.412,0.299,0.286,83,-0.8,-9.6,-12.5,-0.8,13473
Kendrys Morales,- - -,53,201,2,16,12,0,12.90%,12.90%,0.059,0.217,0.194,0.313,0.253,0.264,0.364,63,-1.8,-11.4,-4,-0.8,8610
Travis Shaw,MIL,86,270,7,22,16,0,13.30%,33.00%,0.113,0.216,0.157,0.281,0.27,0.248,0.282,47,-0.4,-19.2,2.1,-0.8,11982
Raimel Tapia,COL,138,447,9,54,44,9,4.70%,22.40%,0.141,0.341,0.275,0.309,0.415,0.307,0.286,74,-0.2,-15.6,-7.6,-0.8,14350
Daniel Descalso,CHC,82,194,2,20,15,2,11.90%,29.40%,0.077,0.245,0.173,0.271,0.25,0.238,0.265,41,-0.7,-15.9,0.9,-0.8,8392
Cheslor Cuthbert,KCR,87,330,9,24,40,1,5.80%,20.30%,0.133,0.288,0.246,0.294,0.379,0.287,0.288,74,-2.5,-13.4,-7.1,-0.9,10473
Sam Travis,BOS,59,157,6,17,16,2,7.00%,22.90%,0.167,0.243,0.215,0.274,0.382,0.273,0.271,62,-2.1,-9.6,-4.9,-0.9,16263
Grayson Greiner,DET,58,224,5,18,19,0,5.80%,31.30%,0.106,0.276,0.202,0.251,0.308,0.242,0.249,45,-0.4,-16.1,-1,-0.9,17062
Jon Jay,CHW,47,182,0,12,9,0,4.40%,16.50%,0.048,0.324,0.267,0.311,0.315,0.275,0.272,69,0.4,-6.9,-9,-0.9,5227
Jung Ho Kang,PIT,65,185,10,15,24,0,5.90%,32.40%,0.227,0.184,0.169,0.222,0.395,0.256,0.293,55,-0.8,-11.9,-3.7,-0.9,17182
Meibrys Viloria,KCR,42,148,1,7,15,0,6.80%,29.70%,0.075,0.293,0.211,0.259,0.286,0.236,0.206,40,-1.9,-13.3,-1.6,-0.9,17109
Nick Williams,PHI,67,112,2,9,5,0,3.60%,38.40%,0.094,0.23,0.151,0.196,0.245,0.193,0.268,11,0.6,-12.5,-0.8,-0.9,14330
Khris Davis,OAK,133,533,23,61,73,0,8.80%,27.40%,0.166,0.264,0.22,0.293,0.387,0.289,0.312,81,-2.2,-15,-13.5,-0.9,9112
Zack Cozart,LAA,38,107,0,4,7,0,4.70%,15.00%,0.021,0.143,0.124,0.178,0.144,0.15,0.245,-17,0.2,-15.9,2.2,-1,2616
Lucas Duda,KCR,39,119,4,7,15,0,9.20%,26.90%,0.152,0.197,0.171,0.252,0.324,0.245,0.308,46,-1.8,-10.1,-4,-1,2502
Richie Martin,BAL,120,309,6,29,23,10,4.50%,26.90%,0.113,0.272,0.208,0.26,0.322,0.252,0.246,50,-1.1,-20.7,-0.3,-1,17736
Eduardo Nunez,BOS,60,174,2,13,20,5,2.30%,15.50%,0.078,0.257,0.228,0.243,0.305,0.233,0.235,35,-1,-15.4,-1.1,-1,6848
Ryan O'Hearn,KCR,105,370,14,32,38,0,10.50%,26.80%,0.174,0.23,0.195,0.281,0.369,0.278,0.305,68,-1.2,-16.2,-7.3,-1,16442
Isiah Kiner-Falefa,TEX,65,222,1,23,21,3,6.30%,22.10%,0.084,0.307,0.238,0.299,0.322,0.272,0.262,57,0.5,-11.7,-6.7,-1,16512
Welington Castillo,CHW,72,251,12,19,41,0,6.40%,29.50%,0.209,0.247,0.209,0.267,0.417,0.287,0.298,77,-4.8,-12.3,-7.4,-1.1,3256
John Hicks,DET,95,333,13,29,35,1,3.90%,32.70%,0.169,0.273,0.21,0.24,0.379,0.259,0.247,57,-3.8,-22.1,-1.3,-1.1,12547
Martin Prado,MIA,104,260,2,26,15,0,4.60%,15.80%,0.061,0.268,0.233,0.265,0.294,0.243,0.27,49,-2.3,-19.7,-1.2,-1.2,3312
Christin Stewart,DET,104,416,10,32,40,0,8.20%,24.80%,0.154,0.29,0.233,0.305,0.388,0.294,0.319,80,-3.1,-13.7,-13.6,-1.2,17714
Isan Diaz,MIA,49,201,5,17,23,0,9.50%,29.40%,0.134,0.224,0.173,0.259,0.307,0.248,0.257,53,-2.9,-15.4,-4,-1.2,17922
Yonder Alonso,- - -,121,335,10,34,37,0,11.60%,20.90%,0.147,0.224,0.199,0.296,0.346,0.277,0.305,66,-3.7,-18.4,-6.1,-1.2,2530
Chris Davis,BAL,105,352,12,26,36,0,11.10%,39.50%,0.147,0.27,0.179,0.276,0.326,0.263,0.292,58,0.1,-18.9,-7.3,-1.3,9272
Curtis Granderson,MIA,138,363,12,44,34,0,11.30%,27.00%,0.174,0.22,0.183,0.281,0.356,0.275,0.306,70,-6.3,-20.4,-5.6,-1.4,4747
Elias Diaz,PIT,101,332,2,31,28,0,6.90%,16.90%,0.066,0.286,0.241,0.296,0.307,0.265,0.278,61,-1,-18.2,-8,-1.5,11680
Lewis Brinson,MIA,75,248,0,15,15,1,5.20%,29.80%,0.049,0.255,0.173,0.236,0.221,0.205,0.246,25,-1.2,-25.9,0.6,-1.7,14352
Jeff Mathis,TEX,88,244,2,17,12,1,6.10%,35.70%,0.066,0.243,0.158,0.209,0.224,0.19,0.187,2,-0.7,-31.3,0.9,-2.1,3448
